uuid,event_date,year,month,day,longitude,latitude,area_km2,confidence,country,admin1,admin2,population
0ec6b2470e184e008386f3fa69cff028,2000-06-11,2000,06,11,95.409038992873,28.16689101812239,0.0217676659174216,,,,,
0aba5cbd26a0489783eeaaac1b7338ee,2002-07-06,2002,07,06,93.73294268734958,25.902161187501086,0.0334105575491177,,,,,
c1d51d511d3c4df2a9dbba5f7390b69f,2002-07-06,2002,07,06,93.75154980424225,25.883307052298186,0.296824799405125,,,,,
567557cd08e246ffbb8c136a71368d60,2001-05-14,2001,05,14,77.2034269651613,31.381846695324626,0.533087372637848,,,,,
07af5bea67014d98a7422a4e1a817331,2002-07-06,2002,07,06,93.74063418720442,25.925394940178773,2.48134742270984,,,,,
05a3c027c04240ad82400d8928d9de8d,2001-05-14,2001,05,14,77.31930311747813,31.56616493413468,11.8732734935351,,,,,
0525451f20a74d7d8f2ddfc4745023fa,2000-06-11,2000,06,11,95.3230676221181,28.063324746818573,22.8854067957185,,,,,
b006d1fd02ad42fc9150750cd70932d4,2001-07-23,2001,07,23,73.0344790589241,33.57029088055141,245.885107202289,,,,,
df248b527de749c380b5f3e1e663ceef,2003-07-06,2003,07,06,94.76224871633772,27.580867935787843,2513.16428132228,,,,,
ef5fa7ee98ca42bf802d93b8dcff871a,2001-01-24,2001,01,24,74.84970292927558,32.71516166318371,0.0121247555539772,,,,,
68c2c58e58a44ef3a24c6e3adac84c45,2001-01-24,2001,01,24,74.73723900532504,32.61812901837322,0.0208163188126345,,,,,
50c6ddcaf497428480da413ab6d138bb,2001-01-30,2001,01,30,77.18500800228057,28.76778000359216,0.0216467847469126,,,,,
f1781c4365ec44a0bfbfbec5b3f8ef61,2001-01-30,2001,01,30,77.27401099894483,28.66612302145632,0.0216674023023889,,,,,
373db1b9a1f84cb5a4b6c22f6f09a58e,2001-01-30,2001,01,30,77.31259404500088,28.609709538941495,16.9702640991671,,,,,
71d144a455474fb7be7c57c4c9ae59e8,2003-07-06,2003,07,06,77.19956130636804,28.532575395033042,416.579270747112,,,,,
