uuid,event_date,year,month,day,longitude,latitude,area_km2,confidence,country,admin1,admin2,population
fc1a94d2c17043dc9bcb3fb4b217364b,2002-07-23,2002,07,23,77.66384149241483,25.431404569255122,30.6824589607972,,,,,
1d8233a8531b4d9f961f0142c9f244dc,2001-08-30,2001,08,30,84.58483100761592,26.396396962263,0.0221099201525975,,,,,
917722ff3ed249b496f3f5323bc044f3,2003-11-26,2003,11,26,88.49047970295473,27.21546847635068,0.141741916383868,,,,,
a574e409be5d41d7af793189fd2a10c1,2001-08-30,2001,08,30,84.66470397854465,26.334055845492696,1.29752269716686,,,,,
8327ce7df6c842c18bb896bfb01fa196,2002-07-07,2002,07,07,84.14400313112786,26.798253224763744,2.35151600146747,,,,,
11acd3c654db453194ef1372f1c46fdc,2001-08-30,2001,08,30,84.3301421292138,26.558815547203665,2.43676222444951,,,,,
91d5f46b05714424b43339855db03077,2001-08-30,2001,08,30,84.54182381081928,27.062078818901274,2.86647989033032,,,,,
caf4f7d88e3b4f098f44237c2d340700,2001-08-30,2001,08,30,84.6531308698945,26.42200300319947,5.14392486070022,,,,,
34e5a3da905347a29b990a51f8f303fe,2001-08-30,2001,08,30,84.49161029252816,26.406122868475,7.92196778223711,,,,,
70efcba6a67c4e87b44706b5f813c2f4,2003-11-26,2003,11,26,88.55376418257174,27.725815634513314,8.47608849216016,,,,,
2ec276b1f1754e0cbef3a4ddfbb5118a,2001-01-26,2001,01,26,88.26278988075323,27.03662083459968,24.3904310691875,,,,,
721aeb6d45fa4dc293b8700ff76234f7,2001-10-07,2001,10,07,88.69410241390553,26.534659074669772,39.9399585393435,,,,,
11b67b3f6a2940288839dfdfbfddd215,2001-01-28,2001,01,28,89.44863971072996,26.333783058743414,60.6704059024483,,,,,
cd0f39728a324ec4827adcd14dc87bcd,2001-10-07,2001,10,07,89.44863971072996,26.333783058743414,60.6704059024483,,,,,
881a46054b0d42598f7eb155c37fc271,2001-01-28,2001,01,28,88.43427679275766,26.714674584695487,81.9336760197557,,,,,
79c7bb8313e244bfb00e954016eadd7a,2001-10-07,2001,10,07,88.43427679275766,26.714674584695487,81.9336760197557,,,,,
c3b8237d37bf4c438f89c988756a3d80,2001-01-28,2001,01,28,87.9004554815169,26.881713453534175,1686.41990494758,,,,,
db00fc045a974381969e8c8bf244e423,2002-01-27,2002,01,27,87.9004554815169,26.881713453534175,1686.41990494758,,,,,
f4ecaf7e2ffe4998ab9f4b061ea5f3e5,2001-08-30,2001,08,30,84.37105790135497,26.444541997183585,2028.91208793053,,,,,
39f7d3c19cb34bedad86835c4a0bad81,2001-01-28,2001,01,28,88.76309822357106,26.682900066708886,3411.84209918453,,,,,
e17672bc8b974349915828039d2f2646,2001-02-01,2001,02,01,84.92322416008956,26.61794828829685,3955.62118524805,,,,,
c18b7e8bb85345dd8b1f848712fd78dd,2001-02-01,2001,02,01,85.36730031506593,28.252819141873193,0.195796468375825,,,,,
5bfc3a75c0874afeae9e76bdec47851e,2000-12-31,2000,12,31,85.10930905819892,27.861643726804388,0.591870390798757,,,,,
e8eb88373ceb46879075aadff4e8b332,2001-08-30,2001,08,30,85.02020358365381,26.404480427279267,1.01347778693365,,,,,
da24386db7f843c3b5a4e8b76c70b82e,2001-08-30,2001,08,30,85.91667576788919,26.39001396776772,1.01631102968113,,,,,
729b06224f4f473c83bb5078332305eb,2001-02-01,2001,02,01,85.29412038179397,26.51407403911707,1.04117512644662,,,,,
8eb71312f05d4be0b72972153d7c717d,2000-12-31,2000,12,31,85.16629299010194,27.917553802925344,1.51114592443427,,,,,
5abb419d2492487d97c4ed3cff45435c,2002-10-17,2002,10,17,85.27591165021545,27.66803375422665,15.6804431217411,,,,,
f852545578514b9888995705fa297a74,2001-02-01,2001,02,01,85.50481029756565,26.5799299668917,20.8379756017612,,,,,
b759dae9ddbd4773ad86f90a4b62fb8c,2002-01-25,2002,01,25,85.32903278275067,27.71022533813922,52.1450896053953,,,,,
755cec2c99984e36a18554c715ceb9c0,2003-08-08,2003,08,08,85.32903278275067,27.71022533813922,52.1450896053953,,,,,
5cb6552c0a5a4040b5c138904d7ac612,2001-01-30,2001,01,30,85.4168149130901,28.182236404377303,1496.41674454626,,,,,
e0b0248121424e80811b55b930e04e30,2001-02-01,2001,02,01,85.4168149130901,28.182236404377303,1496.41674454626,,,,,
